species	long	lat	count	time	route_id
4	4.24236437	50.74067676	1	1496615340	35745
5	4.24262375	50.74082543	1	1496615400	35745
5	4.24481855	50.74163233	1	1496615640	35745
5	4.24738286	50.74231342	1	1496615820	35745
5	4.24742651	50.74245129	1	1496615820	35745
5	4.24704599	50.74278018	1	1496615880	35745
5	4.24719129	50.74268332	1	1496615880	35745
5	4.24665355	50.73933007	1	1496617020	35745
5	4.24689809	50.73960895	1	1496617020	35745
5	4.2470353	50.73974221	1	1496617080	35745
3	4.25097241	50.74110034	1	1496617440	35745
5	4.25243061	50.74168166	1	1496617620	35745
5	4.25386846	50.74100438	1	1496617800	35745
5	4.253961	50.74100684	1	1496617800	35745
5	4.25410614	50.74096629	1	1496617920	35745
5	4.25423234	50.74085874	1	1496617920	35745
5	4.25433458	50.74074816	1	1496617920	35745
5	4.25457319	50.74064334	1	1496617980	35745
3	4.25609251	50.73961477	1	1496618100	35745
5	4.25620098	50.73957527	1	1496618100	35745
5	4.25889181	50.73802093	1	1496618280	35745
5	4.25904073	50.73792142	1	1496618340	35745
5	4.25948843	50.73765212	1	1496618340	35745
5	4.25960962	50.73756893	1	1496618340	35745
5	4.25973689	50.73718349	1	1496618520	35745
5	4.26031019	50.73541286	1	1496619000	35745
5	4.26052252	50.73528842	1	1496619000	35745
5	4.2607472	50.73516265	1	1496619060	35745
5	4.26118039	50.73482533	1	1496619060	35745
5	4.26140841	50.73469774	1	1496619060	35745
7	4.25378337	50.73123601	1	1496619960	35745
5	4.24890665	50.73325496	1	1496620320	35745
5	4.24698101	50.7334448	1	1496620440	35745
5	4.24610333	50.73335327	1	1496620500	35745
5	4.24673177	50.73344297	1	1496620500	35745
5	4.24440204	50.73204289	1	1496620680	35745
5	4.24441125	50.73221066	1	1496620680	35745
5	4.24403519	50.73084149	1	1496620800	35745
5	4.2440438	50.73082584	1	1496620800	35745
5	4.24329133	50.7309532	1	1496620920	35745
5	4.23804524	50.73221992	1	1496621400	35745
5	4.23808384	50.73221979	1	1496621400	35745
5	4.23810545	50.73224748	1	1496621400	35745
5	4.23793748	50.7323304	1	1496621520	35745
5	4.23804783	50.73235258	1	1496621520	35745
5	4.23820098	50.73228259	1	1496621520	35745
5	4.23826828	50.73233139	1	1496621520	35745
5	4.2383553	50.73240064	1	1496621580	35745
5	4.2384381	50.7324891	1	1496621580	35745
5	4.23849107	50.73254717	1	1496621580	35745
5	4.23869099	50.73271393	1	1496621580	35745
5	4.24158365	50.73885249	1	1496622840	35745
5	4.24158467	50.73884776	1	1496622840	35745
