"location","c130","height"
"DomANT11095",165,36
"DomANT11095",165,36.5
"DomANT11095",165,37
"DomANT11095",165,38.5
"DomANT11095",165,39.5
"DomANT11095",175,30
"DomANT11095",175,30
"DomANT11095",175,31
"DomANT11095",175,31
"DomANT11095",175,31
"DomANT11095",175,32
"DomANT11095",175,33
"DomANT11095",175,33.5
"DomANT11095",175,34
"DomANT11095",175,34
"DomANT11095",175,34.5
"DomANT11095",175,35
"DomANT11095",175,35
"DomANT11095",175,35
"DomANT11095",175,36
"DomANT11095",175,36
"DomANT11095",175,36
"DomANT11095",175,36
"DomANT11095",175,36
"DomANT11095",175,36.5
"DomANT11095",175,36.5
"DomANT11095",175,39
"DomANT11095",185,29.5
"DomANT11095",185,32
"DomANT11095",185,33
"DomANT11095",185,34
"DomANT11095",185,34
"DomANT11095",185,35
"DomANT11095",185,35
"DomANT11095",185,35.5
"DomANT11095",185,35.5
"DomANT11095",185,36
"DomANT11095",185,36
"DomANT11095",185,36
"DomANT11095",185,36
"DomANT11095",185,36
"DomANT11095",185,36.5
"DomANT11095",185,36.5
"DomANT11095",185,37
"DomANT11095",185,37
"DomANT11095",185,38.5
"DomANT11095",185,39
"DomANT11095",195,28.5
"DomANT11095",195,29
"DomANT11095",195,36
"DomANT11095",195,36
"DomANT11095",195,36
"DomANT11095",205,30
"DomANT11095",205,32.5
"DomANT11095",205,35.5
"DomANT11095",205,36
"DomANT11095",205,37
"DomANT11095",205,37.5
"DomANT11095",205,37.5
"DomANT11095",215,35.5
"DomANT11095",215,36
"DomANT11095",215,36
"DomANT11095",225,36
"DomANT11122",35,10
"DomANT11122",45,12
"DomANT11122",45,13
"DomANT11122",85,20.5
"DomANT11122",105,22.5
"DomANT11122",115,21
"DomANT11122",115,23.8
"DomANT11122",125,22.5
"DomANT11122",125,22.5
"DomANT11122",125,26
"DomANT11122",125,31.5
"DomANT11122",125,32
"DomANT11122",125,33
"DomANT11122",135,31
"DomANT11122",145,26.5
"DomANT11122",145,27
"DomANT11122",145,28
"DomANT11122",145,29
"DomANT11122",145,30
"DomANT11122",145,32
"DomANT11122",145,32
"DomANT11122",145,32.5
"DomANT11122",155,29.5
"DomANT11122",155,30.5
"DomANT11122",165,25
"DomANT11122",165,27
"DomANT11122",165,30
"DomANT11122",165,30.5
"DomANT11122",165,32
"DomANT11122",165,34
"DomANT11122",175,25
"DomANT11122",175,25
"DomANT11122",175,26
"DomANT11122",175,26
"DomANT11122",175,28.5
"DomANT11122",175,30
"DomANT11122",175,32
"DomANT11122",175,32.5
"DomANT11122",175,33
"DomANT11122",185,24
"DomANT11122",185,27.5
"DomANT11122",185,28
"DomANT11122",185,34.5
"DomANT11122",195,30.5
"DomANT11122",195,31.5
"DomANT11122",195,33
"DomANT11122",205,32
"DomANT11122",205,32.5
"DomANT11122",205,33.5
"DomANT11122",205,37
"DomLIM09051",75,24
"DomLIM09051",75,25
"DomLIM09051",95,25
"DomLIM09051",95,26
"DomLIM09051",95,26
"DomLIM09051",95,32
"DomLIM09051",105,24.5
"DomLIM09051",105,25.5
