eser,mdau,mspe,nlei,nnoc,paur,pnat,ppip,timestamp,size,length
0,0,0,0,0,0,0,2,2017-07-22T23:05:56Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:07:30Z,8388544,10
0,0,0,0,0,0,0,2,2017-07-22T23:06:46Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:03:52Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T22:54:32Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T22:44:22Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:07:12Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:01:42Z,4194272,5
0,0,0,0,0,0,0,5,2017-07-22T23:01:04Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T23:00:04Z,4194272,5
0,1,0,0,0,0,0,2,2017-07-22T23:12:06Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T22:04:50Z,8388544,10
0,0,0,0,0,0,0,2,2017-07-22T22:54:24Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T22:56:46Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T22:44:12Z,4194272,5
1,0,0,0,0,0,0,2,2017-07-22T23:31:38Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T21:23:24Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T21:58:24Z,8388544,10
0,0,0,0,0,0,0,4,2017-07-22T23:00:22Z,8388544,10
0,0,0,0,0,0,0,3,2017-07-22T22:33:30Z,4194272,5
1,0,0,0,0,0,0,0,2017-07-22T23:02:32Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:05:30Z,8388544,10
0,0,0,0,0,0,0,1,2017-07-22T22:56:26Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T22:56:16Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T22:54:52Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T21:24:32Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:30:24Z,4194272,5
0,0,0,0,0,0,0,3,2017-07-22T23:04:28Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:29:40Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T21:22:16Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:04:18Z,4194272,5
0,0,0,0,0,0,0,2,2017-07-22T23:29:18Z,4194272,5
0,0,0,0,0,0,0,1,2017-07-22T22:32:50Z,4194272,5
